,관람객평점,감독,개요,등급,누적관객수
비상선언,6.66점,한재림,"드라마,한국,140분 , 2022.08.03 개봉,",12세 관람가,"1,495,336명(08.08 기준)"
한산: 용의 출현,8.52점,김한민,"액션, 드라마,한국,129분 , 2022.07.27 개봉,",12세 관람가,"4,760,152명(08.08 기준)"
외계+인 1부,6.89점,최동훈,"액션, 판타지, SF,한국,142분 , 2022.07.20 개봉,",12세 관람가,"1,501,779명(08.08 기준)"
탑건: 매버릭,9.59점,조셉 코신스키,"액션,미국,130분 , 2022.06.22 개봉,",12세 관람가,"7,477,721명(08.08 기준)"
헤어질 결심,8.93점,박찬욱,"멜로/로맨스, 드라마, 서스펜스,한국,138분 , 2022.06.29 개봉,",15세 관람가,"1,783,308명(08.08 기준)"
헌트,8.96점,이정재,"액션, 드라마,한국,125분 , 2022.08.10 개봉,",15세 관람가,None
카터,없음,정병길,"액션, 모험,한국,",None,None
프레이,없음,댄 트라첸버그,"액션, 스릴러, 드라마, 공포, SF,미국,99분 ,",청소년 관람불가,None
미니언즈2,7.86점,카일 발다,"애니메이션, 모험, 코미디,미국,87분 , 2022.07.20 개봉,",전체 관람가,"1,995,389명(08.08 기준)"
토르: 러브 앤 썬더,6.73점,타이카 와이티티,"액션, 모험, 판타지,미국,119분 , 2022.07.06 개봉,",12세 관람가,"2,714,787명(08.08 기준)"
